1	12	5	6	10	21	7	8	4	2	3	9	11	1	19	17	0	0
1	1	26	26	26	26	26	26	26	26	26	26	26	26	-1	26	26	26
-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1
26	26	26	26	-1	-1	-1	-1	10	-1	-1	-1	26	26	-1	26	26	26
26	26	10	26	-1	-1	-1	-1	26	-1	-1	-1	26	26	26	26	26	26
26	26	26	10	-1	-1	-1	-1	26	-1	-1	-1	26	26	-1	26	26	26
26	26	26	26	-1	-1	10	-1	10	-1	-1	-1	26	26	-1	26	26	26
26	26	26	26	-1	-1	-1	10	10	-1	-1	-1	26	26	-1	26	26	26
26	26	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	26	26	-1	-1	26	26
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	12	26	26	26	26	26	26	26	26	26	26	26	14	-1	13	26	26
-1	18	26	26	26	26	26	26	26	-1	-1	-1	26	14	-1	-1	26	26
-1	16	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	16	26	26	26	26	26	26	26	-1	-1	-1	26	-1	-1	-1	26	26
-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	18	26	26	26	26	26	26	26	-1	-1	-1	26	14	-1	-1	26	26
19	19	19	19	19	19	19	19	19	19	19	19	19	19	20	19	-1	19
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	26	26	26	23	22	-1	-1	-1	-1	-1	-1	26	26	-1	26	26	26
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	25	22
23	23	23	23	24	23	23	23	23	23	23	23	23	23	23	23	23	23
23	23	23	23	23	25	23	23	23	23	23	23	23	23	23	23	23	23
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
